epochs,loss,accuracy,model,fit_time,total_params
39,1.5504994196114161,0.8039735,keras_xception_model 128,850.9514266204834,20869676
40,1.147240974384033,0.8331126,keras_xception_model 128,872.7706939697266,20869676
41,1.0360435333583935,0.7470199,keras_xception_model 128,894.5899613189697,20869676
42,1.1991475221990848,0.8066225,keras_xception_model 128,916.4092286682129,20869676
43,1.1978381496430193,0.79072845,keras_xception_model 128,938.2284960174561,20869676
44,1.1812216356347334,0.79337746,keras_xception_model 128,960.0477633666992,20869676
45,0.924095900568286,0.81589407,keras_xception_model 128,981.8670307159424,20869676
46,1.6512401137374757,0.79602647,keras_xception_model 128,1003.6862980651855,20869676
47,1.5482183906205758,0.8092715,keras_xception_model 128,1025.5055654144287,20869676
48,0.7713218461423701,0.8490066,keras_xception_model 128,1047.3248327636718,20869676
49,1.7687489838204518,0.7986755,keras_xception_model 128,1069.144100112915,20869676
50,1.1429338496894035,0.82913905,keras_xception_model 128,1090.9633674621582,20869676
1,1.34091927673643,0.3602649,keras_vgg19_model 128,18.806946024894714,20026436
2,1.3389584070799367,0.3602649,keras_vgg19_model 128,37.61389204978943,20026436
3,1.3431636488200813,0.3602649,keras_vgg19_model 128,56.42083807468414,20026436
4,1.3405410444499641,0.3602649,keras_vgg19_model 128,75.22778409957886,20026436
5,1.340461970638755,0.3602649,keras_vgg19_model 128,94.03473012447357,20026436
6,1.3379007367898297,0.3602649,keras_vgg19_model 128,112.84167614936828,20026436
7,1.3389567948335055,0.3602649,keras_vgg19_model 128,131.648622174263,20026436
8,1.3385366725605845,0.3602649,keras_vgg19_model 128,150.4555681991577,20026436
9,1.769681711070585,0.26092714,keras_vgg19_model 128,169.26251422405244,20026436
10,1.3474459548659672,0.3602649,keras_vgg19_model 128,188.06946024894714,20026436
11,1.3441413282558619,0.3602649,keras_vgg19_model 128,206.87640627384187,20026436
12,1.3366052095463734,0.3205298,keras_vgg19_model 128,225.68335229873657,20026436
13,1.3386635894017505,0.3602649,keras_vgg19_model 128,244.4902983236313,20026436
14,1.3383954884990161,0.3602649,keras_vgg19_model 128,263.297244348526,20026436
15,1.337505002053368,0.3602649,keras_vgg19_model 128,282.1041903734207,20026436
16,1.338183162070268,0.3602649,keras_vgg19_model 128,300.9111363983154,20026436
17,1.3378822162451334,0.3602649,keras_vgg19_model 128,319.71808242321015,20026436
18,1.337408133847824,0.3602649,keras_vgg19_model 128,338.5250284481049,20026436
19,1.337618362193076,0.3602649,keras_vgg19_model 128,357.33197447299955,20026436
20,1.3374839321666996,0.3602649,keras_vgg19_model 128,376.1389204978943,20026436
21,1.3372706135377188,0.3602649,keras_vgg19_model 128,394.945866522789,20026436
22,1.3373545158777804,0.3602649,keras_vgg19_model 128,413.75281254768373,20026436
23,1.3437101242558056,0.3602649,keras_vgg19_model 128,432.5597585725784,20026436
24,1.4192503063884003,0.3602649,keras_vgg19_model 128,451.36670459747313,20026436
25,1.3375093535871696,0.3602649,keras_vgg19_model 128,470.17365062236786,20026436
26,1.3383303937533044,0.3602649,keras_vgg19_model 128,488.9805966472626,20026436
27,1.3380974509068673,0.3602649,keras_vgg19_model 128,507.7875426721573,20026436
28,1.3376463555342315,0.3602649,keras_vgg19_model 128,526.594488697052,20026436
29,1.3370124467950784,0.3602649,keras_vgg19_model 128,545.4014347219468,20026436
30,1.3375472199837892,0.3602649,keras_vgg19_model 128,564.2083807468414,20026436
31,1.338483344008591,0.3602649,keras_vgg19_model 128,583.0153267717361,20026436
32,1.337883864333298,0.3602649,keras_vgg19_model 128,601.8222727966308,20026436
33,1.338298266928717,0.3602649,keras_vgg19_model 128,620.6292188215256,20026436
34,1.3396079600252062,0.3602649,keras_vgg19_model 128,639.4361648464203,20026436
35,1.3371947798507893,0.3602649,keras_vgg19_model 128,658.243110871315,20026436
36,1.3374715377163413,0.3602649,keras_vgg19_model 128,677.0500568962098,20026436
37,1.3376374639422688,0.3602649,keras_vgg19_model 128,695.8570029211045,20026436
38,1.3371846268508607,0.3602649,keras_vgg19_model 128,714.6639489459991,20026436
39,1.3377091369881535,0.3602649,keras_vgg19_model 128,733.4708949708938,20026436
40,1.3371027318057636,0.3602649,keras_vgg19_model 128,752.2778409957886,20026436
41,1.3372382115054604,0.3602649,keras_vgg19_model 128,771.0847870206833,20026436
42,1.3391233829473028,0.3602649,keras_vgg19_model 128,789.891733045578,20026436
43,1.341328661647064,0.3602649,keras_vgg19_model 128,808.6986790704727,20026436
44,1.3374942602700746,0.3602649,keras_vgg19_model 128,827.5056250953675,20026436
45,1.3293494614544294,0.3602649,keras_vgg19_model 128,846.3125711202622,20026436
46,1.3384727593289305,0.3602649,keras_vgg19_model 128,865.1195171451568,20026436
47,1.3379892300296303,0.3602649,keras_vgg19_model 128,883.9264631700515,20026436
48,3.0708135255125186,0.14304636,keras_vgg19_model 128,902.7334091949463,20026436
49,1.3374183007423452,0.3602649,keras_vgg19_model 128,921.540355219841,20026436
50,1.337978677560162,0.3602649,keras_vgg19_model 128,940.3473012447357,20026436
1,1.340852304325988,0.3602649,keras_vgg19_model 128,16.13012867450714,20026436
2,1.3676009983416424,0.26092714,keras_vgg19_model 128,32.26025734901428,20026436
